[2025-04-16 11:19:02] CPU: 38.5%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 21.99 KB/s, Network Received: 2.37 KB/s
[2025-04-16 11:19:03] CPU: 25.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 12.99 KB/s, Network Received: 2.68 KB/s
[2025-04-16 11:19:03] CPU: 59.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 15.16 KB/s, Network Received: 2.79 KB/s
[2025-04-16 11:19:03] CPU: 30.0%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 9.58 KB/s, Network Received: 588.00 B/s
[2025-04-16 11:19:04] CPU: 34.9%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 6.95 KB/s, Network Received: 1.83 KB/s
[2025-04-16 11:19:04] CPU: 60.0%, Memory: 23.6%, Disk Read: 0.00 B/s, Disk Write: 84.00 KB/s, Network Sent: 22.21 KB/s, Network Received: 4.61 KB/s
[2025-04-16 11:19:05] CPU: 33.3%, Memory: 23.7%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 19.24 KB/s, Network Received: 4.75 KB/s
[2025-04-16 11:19:05] CPU: 52.6%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 12.53 KB/s, Network Received: 3.09 KB/s
[2025-04-16 11:19:05] CPU: 51.2%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 16.41 KB/s, Network Received: 496.00 B/s
[2025-04-16 11:19:06] CPU: 45.0%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 19.27 KB/s, Network Received: 4.42 KB/s
[2025-04-16 11:19:06] CPU: 34.2%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 172.00 KB/s, Network Sent: 27.49 KB/s, Network Received: 2.09 KB/s
[2025-04-16 11:19:06] CPU: 2.6%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 3.55 KB/s, Network Received: 86.00 B/s
[2025-04-16 11:19:07] CPU: 9.5%, Memory: 24.0%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 29.00 KB/s, Network Received: 2.34 KB/s
[2025-04-16 11:19:07] CPU: 5.3%, Memory: 23.9%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 20.14 KB/s, Network Received: 6.09 KB/s
[2025-04-16 11:19:08] CPU: 0.0%, Memory: 23.8%, Disk Read: 0.00 B/s, Disk Write: 0.00 B/s, Network Sent: 19.28 KB/s, Network Received: 1.73 KB/s
